# RA        Dec       Flux_182  Flux_cat  Alpha     Freq      Catalog    
61.35     2.67      4.17      3.4       -1.56     160.0     Culgoora   
71.3      -38.64    4.17      4.12      -0.91     180.0     MWACS      
111.03    -23.49    4.17      4.13      -0.76     180.0     MWACS      
98.1      -27.36    4.16      4.1       -1.07     180.0     MWACS      
349.09    -27.5     4.15      4.15      -0.8      182.44    FHD        
353.63    -33.76    4.15      4.15      -0.8      182.44    FHD        
175.3     5.73      4.15      3.3       -1.74     160.0     Culgoora   
146.6     25.56     4.14      3.8       -0.66     160.0     Culgoora   
101.4     0.61      4.14      3.8       -0.66     160.0     Culgoora   
117.76    16.33     4.14      3.8       -0.66     160.0     Culgoora   
55.39     -36.38    4.14      4.09      -0.8      180.0     MWACS      
346.67    0.94      4.13      3.1       -2.18     160.0     Culgoora   
93.39     -25.51    4.12      4.08      -0.64     180.0     MWACS      
13.47     -49.23    4.12      4.1       -0.42     180.0     MWACS      
25.43     -14.73    4.12      4.05      -1.21     180.0     MWACS      
57.52     13.33     4.11      3.2       -1.91     160.0     Culgoora   
45.16     -34.23    4.11      4.06      -0.84     180.0     MWACS      
19.03     -47.3     4.11      4.11      0.0       180.0     MWACS      
85.11     -53.06    4.11      4.06      -0.86     180.0     MWACS      
100.36    -51.45    4.1       4.06      -0.73     180.0     MWACS      
266.81    -19.35    4.1       7.8       -0.8      408.0     MRC        
163.11    20.49     4.09      4.4       0.55      160.0     Culgoora   
139.44    5.38      4.09      3.5       -1.19     160.0     Culgoora   
182.98    -40.28    4.09      3.5       -1.19     160.0     Culgoora   
13.46     31.25     4.09      3.5       -1.19     160.0     Culgoora   
218.26    -35.34    4.09      3.5       -1.19     160.0     Culgoora   
227.79    18.03     4.09      3.5       -1.19     160.0     Culgoora   
324.61    11.97     4.09      3.5       -1.19     160.0     Culgoora   
221.68    27.94     4.09      3.9       -0.36     160.0     Culgoora   
0.25      -10.91    4.09      4.09      -0.8      182.44    FHD        
111.89    -25.61    4.09      4.05      -0.7      180.0     MWACS      
60.81     -3.02     4.09      3.4       -1.4      160.0     Culgoora   
9.33      19.97     4.09      3.4       -1.4      160.0     Culgoora   
10.38     6.95      4.08      3.6       -0.96     160.0     Culgoora   
327.74    20.05     4.08      3.6       -0.96     160.0     Culgoora   
354.94    -6.07     4.08      3.6       -0.96     160.0     Culgoora   
15.84     -32.43    4.08      4.07      -0.2      180.0     MWACS      
351.28    -40.86    4.07      4.07      -0.8      182.44    FHD        
21.79     23.23     4.07      3.3       -1.6      160.0     Culgoora   
49.15     -43.85    4.07      4.07      0.0       180.0     MWACS      
136.56    25.62     4.07      3.1       -2.07     160.0     Culgoora   
11.06     -22.21    4.06      4.06      -0.8      182.44    FHD        
91.02     -28.98    4.06      4.01      -1.09     180.0     MWACS      
107.24    -38.56    4.06      4.02      -0.79     180.0     MWACS      
2.54      -43.66    4.06      4.02      -0.72     180.0     MWACS      
57.92     -34.58    4.06      4.02      -0.67     180.0     MWACS      
333.47    9.23      4.06      3.7       -0.7      160.0     Culgoora   
234.33    -13.03    4.06      3.7       -0.7      160.0     Culgoora   
123.88    -52.06    4.05      4.02      -0.62     180.0     MWACS      
107.35    -36.04    4.05      4.05      0.0       180.0     MWACS      
71.91     -22.06    4.04      4.11      1.31      180.0     MWACS      
102.21    -47.57    4.04      4.1       0.97      180.0     MWACS      
5.38      -46.96    4.04      3.99      -0.91     180.0     MWACS      
203.16    -66.78    4.04      7.69      -0.8      408.0     MRC        
244.46    -77.29    4.04      5.35      -0.35     408.0     MRC        
112.77    -52.62    4.03      3.98      -1.01     180.0     MWACS      
47.51     -30.33    4.03      3.98      -0.83     180.0     MWACS      
89.05     -32.11    4.03      3.98      -0.78     180.0     MWACS      
89.5      -28.93    4.02      4.0       -0.47     180.0     MWACS      
28.54     -43.46    4.01      3.97      -0.82     180.0     MWACS      
234.76    -2.19     4.0       3.1       -1.95     160.0     Culgoora   
269.88    6.28      4.0       3.1       -1.95     160.0     Culgoora   
37.03     -1.31     4.0       4.0       0.0       160.0     Culgoora   
350.5     27.54     4.0       4.0       0.0       160.0     Culgoora   
348.66    -21.94    4.0       4.0       -0.8      182.44    FHD        
241.29    17.72     4.0       3.4       -1.23     160.0     Culgoora   
306.42    -7.62     4.0       3.4       -1.23     160.0     Culgoora   
307.4     -41.31    3.99      3.93      -1.26     180.0     MWACS      
49.45     -55.11    3.99      3.95      -0.83     180.0     MWACS      
242.19    10.4      3.99      3.5       -1.0      160.0     Culgoora   
53.08     17.19     3.99      3.5       -1.0      160.0     Culgoora   
236.4     -3.54     3.99      3.5       -1.0      160.0     Culgoora   
223.42    28.05     3.99      3.5       -1.0      160.0     Culgoora   
125.24    -12.98    3.99      3.5       -1.0      160.0     Culgoora   
65.06     10.76     3.99      3.5       -1.0      160.0     Culgoora   
24.41     -24.52    3.99      3.95      -0.73     180.0     MWACS      
109.59    -58.14    3.98      3.94      -0.75     180.0     MWACS      
112.3     -33.58    3.98      3.93      -0.92     180.0     MWACS      
106.36    -45.22    3.97      3.92      -1.07     180.0     MWACS      
127.99    13.89     3.97      3.2       -1.64     160.0     Culgoora   
336.52    17.36     3.97      3.2       -1.64     160.0     Culgoora   
162.88    23.82     3.97      3.6       -0.74     160.0     Culgoora   
24.15     -8.12     3.97      3.6       -0.74     160.0     Culgoora   
56.76     -29.01    3.96      3.93      -0.6      180.0     MWACS      
83.52     -44.93    3.96      3.91      -0.93     180.0     MWACS      
318.57    -18.32    3.96      3.92      -0.73     180.0     MWACS      
188.11    26.02     3.96      2.9       -2.37     160.0     Culgoora   
323.0     -57.48    3.95      3.9       -1.01     180.0     MWACS      
53.54     -39.01    3.95      3.86      -1.59     180.0     MWACS      
10.99     -16.08    3.94      3.94      -0.8      182.44    FHD        
44.01     -48.26    3.94      3.91      -0.6      180.0     MWACS      
31.2      -55.05    3.94      3.9       -0.85     180.0     MWACS      
103.12    -22.67    3.94      3.9       -0.83     180.0     MWACS      
350.02    -6.93     3.94      3.1       -1.83     160.0     Culgoora   
210.31    24.19     3.94      3.1       -1.83     160.0     Culgoora   
102.91    26.27     3.94      3.1       -1.83     160.0     Culgoora   
57.99     -41.45    3.94      3.89      -0.93     180.0     MWACS      
104.12    -14.12    3.93      7.49      -0.8      408.0     MRC        
28.1      -27.32    3.93      3.89      -0.69     180.0     MWACS      
110.64    -37.07    3.93      3.9       -0.53     180.0     MWACS      
112.36    -22.3     3.93      3.87      -1.0      180.0     MWACS      
326.42    -34.69    3.93      3.88      -0.95     180.0     MWACS      
176.38    -48.6     3.92      7.47      -0.8      408.0     MRC        
294.89    -35.69    3.92      3.9       -0.04     160.0     Culgoora   
44.19     9.48      3.92      3.9       -0.04     160.0     Culgoora   
298.9     3.7       3.92      3.9       -0.04     160.0     Culgoora   
51.83     -12.51    3.92      3.9       -0.04     160.0     Culgoora   
108.92    -19.34    3.92      3.88      -0.72     180.0     MWACS      
44.86     -39.68    3.91      3.88      -0.62     180.0     MWACS      
354.98    -33.18    3.91      3.91      -0.8      182.44    FHD        
210.38    -49.54    3.91      6.46      -0.62     408.0     MRC        
5.1       -48.78    3.9       3.86      -0.73     180.0     MWACS      
341.3     -30.22    3.9       3.84      -1.18     180.0     MWACS      
66.37     -17.01    3.9       3.85      -0.93     180.0     MWACS      
69.94     20.38     3.9       3.4       -1.04     160.0     Culgoora   
125.94    -34.59    3.9       3.4       -1.04     160.0     Culgoora   
43.81     6.6       3.89      3.2       -1.49     160.0     Culgoora   
103.76    2.86      3.89      3.5       -0.8      160.0     Culgoora   
275.16    -9.79     3.89      3.5       -0.8      160.0     Culgoora   
110.23    -26.84    3.89      3.85      -0.75     180.0     MWACS      
66.89     -36.43    3.88      3.83      -0.83     180.0     MWACS      
80.58     -12.18    3.88      3.5       -0.78     160.0     Culgoora   
136.96    4.21      3.88      3.5       -0.78     160.0     Culgoora   
334.72    -3.58     3.88      3.5       -0.78     160.0     Culgoora   
318.34    -15.82    3.88      3.5       -0.78     160.0     Culgoora   
133.9     3.16      3.88      3.5       -0.78     160.0     Culgoora   
165.7     -6.82     3.88      3.5       -0.78     160.0     Culgoora   
98.07     -36.83    3.87      3.83      -0.88     180.0     MWACS      
57.05     -29.55    3.87      3.83      -0.79     180.0     MWACS      
345.4     8.61      3.87      3.1       -1.69     160.0     Culgoora   
70.47     8.46      3.87      3.1       -1.69     160.0     Culgoora   
122.69    -42.98    3.87      3.83      -0.7      180.0     MWACS      
14.55     -37.83    3.86      3.82      -0.8      180.0     MWACS      
27.94     -39.17    3.86      3.83      -0.56     180.0     MWACS      
312.97    -57.06    3.86      3.86      0.0       180.0     MWACS      
215.02    -49.6     3.86      7.34      -0.8      408.0     MRC        
114.94    20.9      3.85      2.9       -2.16     160.0     Culgoora   
129.66    -44.56    3.85      3.81      -0.72     180.0     MWACS      
260.92    -65.01    3.85      2.57      0.5       408.0     MRC        
258.7     -25.24    3.84      7.31      -0.8      408.0     MRC        
19.57     -1.38     3.83      3.0       -1.87     160.0     Culgoora   
225.39    -39.31    3.83      6.07      -0.57     408.0     MRC        
336.47    -40.33    3.83      3.79      -0.85     180.0     MWACS      
93.66     -47.27    3.82      3.78      -0.85     180.0     MWACS      
6.68      -49.31    3.82      3.8       -0.44     180.0     MWACS      
87.71     -31.74    3.82      3.79      -0.56     180.0     MWACS      
7.5       -11.73    3.82      3.82      -0.8      182.44    FHD        
315.04    -28.48    3.82      3.82      0.0       180.0     MWACS      
49.55     -25.59    3.81      3.76      -1.02     180.0     MWACS      
121.25    -17.48    3.81      3.74      -1.37     180.0     MWACS      
81.35     -32.7     3.81      3.74      -1.46     180.0     MWACS      
354.49    -17.88    3.81      3.81      -0.8      182.44    FHD        
226.1     28.59     3.81      3.2       -1.32     160.0     Culgoora   
152.48    14.04     3.81      3.2       -1.32     160.0     Culgoora   
213.85    -15.06    3.81      3.2       -1.32     160.0     Culgoora   
355.25    0.08      3.8       3.3       -1.08     160.0     Culgoora   
52.55     -41.39    3.8       3.75      -0.97     180.0     MWACS      
144.73    25.97     3.8       2.9       -2.05     160.0     Culgoora   
61.59     20.95     3.8       2.9       -2.05     160.0     Culgoora   
121.79    -5.67     3.8       2.9       -2.05     160.0     Culgoora   
155.86    -42.4     3.79      3.1       -1.54     160.0     Culgoora   
305.11    -43.75    3.79      3.4       -0.82     160.0     Culgoora   
187.72    -16.94    3.79      3.4       -0.82     160.0     Culgoora   
45.99     -12.1     3.79      3.4       -0.82     160.0     Culgoora   
121.24    16.24     3.79      3.4       -0.82     160.0     Culgoora   
313.33    -18.67    3.79      3.4       -0.82     160.0     Culgoora   
241.77    -63.53    3.78      7.2       -0.8      408.0     MRC        
357.13    6.39      3.78      3.4       -0.8      160.0     Culgoora   
81.38     -45.96    3.77      3.74      -0.66     180.0     MWACS      
79.57     6.41      3.77      3.0       -1.74     160.0     Culgoora   
103.2     -56.99    3.76      3.73      -0.78     180.0     MWACS      
7.67      -50.31    3.76      3.72      -0.82     180.0     MWACS      
97.96     -32.29    3.76      3.72      -0.66     180.0     MWACS      
16.23     -25.35    3.76      3.73      -0.44     180.0     MWACS      
198.76    20.72     3.75      3.7       -0.11     160.0     Culgoora   
339.56    -14.11    3.75      2.8       -2.22     160.0     Culgoora   
42.1      -22.97    3.74      3.73      -0.22     180.0     MWACS      
224.79    -16.79    3.74      3.5       -0.51     160.0     Culgoora   
162.13    34.95     3.74      3.5       -0.51     160.0     Culgoora   
112.84    -23.0     3.74      3.7       -0.83     180.0     MWACS      
311.24    -54.93    3.74      3.72      -0.46     180.0     MWACS      
50.1      -31.42    3.74      3.69      -0.9      180.0     MWACS      
113.27    -27.88    3.74      3.69      -0.89     180.0     MWACS      
115.66    5.12      3.73      2.9       -1.92     160.0     Culgoora   
104.01    -24.6     3.73      3.68      -0.9      180.0     MWACS      
348.25    -41.46    3.72      3.72      0.07      180.0     MWACS      
359.4     -21.23    3.72      3.72      -0.8      182.44    FHD        
107.82    -47.11    3.72      3.7       -0.47     180.0     MWACS      
45.63     -49.83    3.72      3.67      -0.89     180.0     MWACS      
325.06    -44.2     3.72      3.66      -1.23     180.0     MWACS      
222.01    14.77     3.71      3.2       -1.13     160.0     Culgoora   
212.0     23.52     3.71      3.2       -1.13     160.0     Culgoora   
306.76    -21.6     3.71      3.2       -1.13     160.0     Culgoora   
62.85     -35.22    3.71      3.68      -0.62     180.0     MWACS      
52.78     24.95     3.71      3.1       -1.37     160.0     Culgoora   
157.54    0.61      3.71      3.1       -1.37     160.0     Culgoora   
204.42    -12.96    3.71      3.1       -1.37     160.0     Culgoora   
179.87    10.76     3.71      3.1       -1.37     160.0     Culgoora   
203.46    -10.12    3.71      3.1       -1.37     160.0     Culgoora   
6.55      -12.8     3.71      3.71      -0.8      182.44    FHD        
109.14    -36.74    3.7       3.68      -0.3      180.0     MWACS      
4.0       -19.49    3.7       3.7       -0.8      182.44    FHD        
193.27    -10.52    3.69      3.3       -0.86     160.0     Culgoora   
336.97    -30.56    3.69      3.64      -1.06     180.0     MWACS      
313.31    -48.3     3.68      3.63      -1.09     180.0     MWACS      
18.74     -44.31    3.67      3.63      -0.77     180.0     MWACS      
241.55    -63.47    3.67      6.99      -0.8      408.0     MRC        
158.37    17.69     3.67      2.9       -1.79     160.0     Culgoora   
115.89    -44.57    3.67      3.64      -0.46     180.0     MWACS      
315.89    -27.82    3.66      3.61      -0.97     180.0     MWACS      
63.49     -17.07    3.66      3.63      -0.59     180.0     MWACS      
37.94     13.37     3.66      3.4       -0.56     160.0     Culgoora   
353.44    -9.05     3.66      3.4       -0.56     160.0     Culgoora   
1.03      -23.12    3.66      3.66      -0.8      182.44    FHD        
348.3     -31.97    3.66      3.66      -0.8      182.44    FHD        
107.33    -30.06    3.66      3.61      -0.97     180.0     MWACS      
309.02    -53.35    3.65      3.6       -1.06     180.0     MWACS      
20.35     -30.13    3.65      3.63      -0.56     180.0     MWACS      
43.23     -29.96    3.64      3.6       -0.91     180.0     MWACS      
159.62    -70.05    3.63      6.92      -0.8      408.0     MRC        
156.96    -43.92    3.63      3.8       0.34      160.0     Culgoora   
31.92     -22.75    3.63      3.6       -0.7      180.0     MWACS      
325.57    -28.98    3.63      3.6       -0.72     180.0     MWACS      
200.77    -44.88    3.63      6.91      -0.8      408.0     MRC        
153.08    -64.97    3.63      6.91      -0.8      408.0     MRC        
2.07      -19.67    3.63      3.63      -0.8      182.44    FHD        
119.28    21.89     3.63      2.8       -1.97     160.0     Culgoora   
10.1      7.28      3.63      2.8       -1.97     160.0     Culgoora   
9.35      -23.14    3.63      3.63      -0.8      182.44    FHD        
14.31     -47.69    3.62      3.59      -0.71     180.0     MWACS      
235.27    18.05     3.62      3.1       -1.18     160.0     Culgoora   
58.56     -3.13     3.62      3.1       -1.18     160.0     Culgoora   
166.91    -3.12     3.62      3.1       -1.18     160.0     Culgoora   
318.19    -1.58     3.62      3.1       -1.18     160.0     Culgoora   
170.63    21.41     3.62      3.1       -1.18     160.0     Culgoora   
11.42     0.33      3.61      3.0       -1.42     160.0     Culgoora   
118.76    -43.39    3.61      3.58      -0.66     180.0     MWACS      
0.8       -54.75    3.61      3.58      -0.65     180.0     MWACS      
314.61    -49.08    3.61      3.54      -1.31     180.0     MWACS      
94.28     -15.31    3.61      3.56      -0.87     180.0     MWACS      
106.53    -5.25     3.61      3.2       -0.91     160.0     Culgoora   
33.4      5.8       3.61      3.2       -0.91     160.0     Culgoora   
331.24    -17.71    3.6       3.55      -1.09     180.0     MWACS      
358.98    -18.18    3.6       3.6       -0.8      182.44    FHD        
96.41     -46.91    3.6       3.57      -0.72     180.0     MWACS      
343.8     -30.44    3.6       3.56      -0.87     180.0     MWACS      
69.64     -31.21    3.59      3.56      -0.61     180.0     MWACS      
275.83    -27.44    3.59      6.84      -0.8      408.0     MRC        
121.63    -22.1     3.59      3.54      -1.04     180.0     MWACS      
168.62    -4.05     3.59      2.9       -1.63     160.0     Culgoora   
169.56    -7.71     3.59      2.9       -1.63     160.0     Culgoora   
91.49     -17.93    3.59      3.55      -0.81     180.0     MWACS      
212.74    13.94     3.59      3.5       -0.19     160.0     Culgoora   
322.09    -6.38     3.59      3.5       -0.19     160.0     Culgoora   
5.35      24.42     3.59      3.5       -0.19     160.0     Culgoora   
114.54    17.69     3.59      3.5       -0.19     160.0     Culgoora   
11.07     -46.23    3.59      3.55      -0.67     180.0     MWACS      
0.93      -17.68    3.58      3.58      -0.8      182.44    FHD        
95.14     -25.26    3.58      3.54      -0.72     180.0     MWACS      
106.36    -41.33    3.58      3.55      -0.67     180.0     MWACS      
132.14    5.91      3.58      2.6       -2.43     160.0     Culgoora   
123.8     -38.64    3.57      3.53      -0.86     180.0     MWACS      
75.35     -3.52     3.56      2.8       -1.84     160.0     Culgoora   
61.37     -41.75    3.56      3.52      -0.94     180.0     MWACS      
84.07     -18.21    3.56      3.53      -0.83     180.0     MWACS      
324.83    -42.21    3.56      3.53      -0.67     180.0     MWACS      
316.74    -24.08    3.56      3.48      -1.67     180.0     MWACS      
332.34    -24.89    3.56      3.52      -0.95     180.0     MWACS      
329.97    -37.17    3.56      3.53      -0.62     180.0     MWACS      
356.65    9.5       3.56      3.7       0.3       160.0     Culgoora   
172.54    -14.83    3.56      3.7       0.3       160.0     Culgoora   
88.66     -54.36    3.55      3.51      -0.94     180.0     MWACS      
349.11    -47.49    3.55      3.52      -0.55     180.0     MWACS      
94.04     -39.71    3.54      3.5       -0.97     180.0     MWACS      
67.45     -34.45    3.54      3.51      -0.6      180.0     MWACS      
357.37    -46.64    3.54      3.5       -0.72     180.0     MWACS      
348.51    -42.74    3.54      3.48      -1.08     180.0     MWACS      
34.49     -16.52    3.53      3.49      -0.85     180.0     MWACS      
320.37    -53.62    3.53      3.48      -0.92     180.0     MWACS      
43.74     -24.47    3.52      3.47      -0.99     180.0     MWACS      
106.31    -19.3     3.52      3.48      -0.74     180.0     MWACS      
156.87    -7.32     3.51      2.9       -1.46     160.0     Culgoora   
210.91    -5.46     3.51      3.1       -0.95     160.0     Culgoora   
112.23    -30.88    3.5       3.52      0.38      180.0     MWACS      
66.35     17.9      3.5       3.4       -0.23     160.0     Culgoora   
122.15    -23.2     3.5       3.44      -1.3      180.0     MWACS      
249.55    -68.24    3.5       6.66      -0.8      408.0     MRC        
44.07     -26.18    3.5       3.45      -0.98     180.0     MWACS      
10.77     -41.99    3.49      3.48      -0.31     180.0     MWACS      
113.78    18.14     3.49      2.8       -1.68     160.0     Culgoora   
37.9      -20.68    3.49      3.44      -1.06     180.0     MWACS      
107.33    -53.76    3.49      3.45      -0.78     180.0     MWACS      
80.93     -34.14    3.49      3.45      -0.71     180.0     MWACS      
43.49     -41.69    3.48      3.45      -0.66     180.0     MWACS      
67.58     -27.0     3.48      3.44      -0.78     180.0     MWACS      
0.8       -14.68    3.48      3.48      -0.8      182.44    FHD        
1.56      -83.1     3.48      6.62      -0.8      408.0     MRC        
72.12     -20.53    3.47      3.47      0.0       180.0     MWACS      
306.34    12.1      3.47      2.6       -2.21     160.0     Culgoora   
26.34     -24.4     3.47      3.44      -0.7      180.0     MWACS      
33.29     -47.76    3.47      3.47      0.0       180.0     MWACS      
88.31     -46.18    3.46      3.45      -0.26     180.0     MWACS      
126.63    -49.28    3.46      3.43      -0.72     180.0     MWACS      
127.0     1.21      3.46      2.7       -1.89     160.0     Culgoora   
159.02    0.1       3.46      2.7       -1.89     160.0     Culgoora   
341.61    -32.05    3.46      3.42      -0.85     180.0     MWACS      
20.78     -50.7     3.45      3.42      -0.76     180.0     MWACS      
15.19     -50.52    3.45      3.41      -0.89     180.0     MWACS      
50.62     -38.81    3.45      3.43      -0.38     180.0     MWACS      
62.56     -47.81    3.45      3.42      -0.67     180.0     MWACS      
348.96    -18.01    3.44      3.44      -0.8      182.44    FHD        
68.0      -17.07    3.44      3.4       -0.85     180.0     MWACS      
42.0      -29.53    3.43      3.4       -0.79     180.0     MWACS      
333.66    -38.59    3.43      3.43      0.06      180.0     MWACS      
78.19     -41.13    3.43      3.4       -0.67     180.0     MWACS      
324.3     -27.92    3.43      3.4       -0.67     180.0     MWACS      
68.54     -13.38    3.42      3.3       -0.28     160.0     Culgoora   
18.67     -33.04    3.42      3.39      -0.65     180.0     MWACS      
103.32    -7.33     3.42      3.0       -1.0      160.0     Culgoora   
115.94    23.43     3.42      3.0       -1.0      160.0     Culgoora   
226.72    -16.62    3.42      3.0       -1.0      160.0     Culgoora   
103.59    -28.88    3.42      3.38      -0.93     180.0     MWACS      
0.6       -14.11    3.42      3.42      -0.8      182.44    FHD        
55.54     -4.58     3.42      2.5       -2.38     160.0     Culgoora   
170.73    1.11      3.42      2.6       -2.08     160.0     Culgoora   
88.46     -17.17    3.42      3.38      -0.88     180.0     MWACS      
1.4       -54.47    3.42      3.37      -0.95     180.0     MWACS      
330.67    -19.92    3.42      3.39      -0.62     180.0     MWACS      
192.33    -6.17     3.41      2.8       -1.51     160.0     Culgoora   
306.53    -48.33    3.41      3.39      -0.6      180.0     MWACS      
82.34     -25.48    3.41      3.38      -0.75     180.0     MWACS      
112.63    -54.64    3.41      3.38      -0.7      180.0     MWACS      
34.3      -57.3     3.4       3.37      -0.66     180.0     MWACS      
110.07    -35.26    3.4       3.37      -0.73     180.0     MWACS      
84.71     -44.08    3.4       3.42      0.32      180.0     MWACS      
359.99    0.68      3.4       3.5       0.22      160.0     Culgoora   
246.53    -29.86    3.4       3.5       0.22      160.0     Culgoora   
245.51    -43.14    3.4       6.47      -0.8      408.0     MRC        
88.99     -57.72    3.4       3.37      -0.62     180.0     MWACS      
349.98    -36.95    3.4       3.4       -0.8      182.44    FHD        
357.64    27.66     3.39      3.1       -0.69     160.0     Culgoora   
178.2     26.23     3.39      2.7       -1.74     160.0     Culgoora   
105.37    23.2      3.39      2.7       -1.74     160.0     Culgoora   
88.15     -36.84    3.39      3.36      -0.72     180.0     MWACS      
4.05      -31.4     3.39      3.39      -0.8      182.44    FHD        
119.44    -18.0     3.39      3.34      -1.08     180.0     MWACS      
115.61    -17.26    3.39      3.34      -0.99     180.0     MWACS      
345.03    -46.22    3.39      3.35      -0.87     180.0     MWACS      
102.33    -48.01    3.38      3.34      -0.91     180.0     MWACS      
15.91     -27.25    3.38      3.36      -0.36     180.0     MWACS      
352.42    -21.23    3.38      3.38      -0.8      182.44    FHD        
117.93    -38.28    3.37      3.33      -0.87     180.0     MWACS      
48.7      -30.5     3.37      3.34      -0.8      180.0     MWACS      
121.23    -38.91    3.37      3.34      -0.68     180.0     MWACS      
103.4     -33.69    3.37      3.34      -0.72     180.0     MWACS      
102.01    -38.51    3.36      3.33      -0.73     180.0     MWACS      
219.69    -7.26     3.35      2.6       -1.94     160.0     Culgoora   
18.29     -34.05    3.35      3.32      -0.66     180.0     MWACS      
338.84    -23.0     3.35      3.32      -0.6      180.0     MWACS      
0.95      -23.5     3.35      3.35      -0.8      182.44    FHD        
342.83    -42.97    3.35      3.31      -0.85     180.0     MWACS      
354.27    -32.68    3.34      3.34      -0.8      182.44    FHD        
65.98     -22.4     3.34      3.3       -0.84     180.0     MWACS      
44.42     -26.0     3.34      3.3       -0.82     180.0     MWACS      
85.62     -48.84    3.34      3.32      -0.45     180.0     MWACS      
359.39    -11.43    3.34      3.34      -0.8      182.44    FHD        
331.59    5.95      3.34      3.2       -0.32     160.0     Culgoora   
175.65    -15.49    3.34      3.2       -0.32     160.0     Culgoora   
215.47    17.81     3.34      3.2       -0.32     160.0     Culgoora   
117.48    -57.68    3.34      3.3       -0.86     180.0     MWACS      
12.5      -57.64    3.34      3.31      -0.65     180.0     MWACS      
212.53    2.06      3.33      3.0       -0.8      160.0     Culgoora   
114.83    1.62      3.33      3.0       -0.8      160.0     Culgoora   
55.16     -33.42    3.33      3.33      0.0       180.0     MWACS      
129.08    -0.65     3.33      2.8       -1.32     160.0     Culgoora   
138.49    5.14      3.33      2.8       -1.32     160.0     Culgoora   
14.27     -38.17    3.33      3.3       -0.71     180.0     MWACS      
295.21    -36.34    3.33      2.9       -1.05     160.0     Culgoora   
73.15     -28.78    3.32      3.29      -0.88     180.0     MWACS      
69.49     -44.85    3.32      3.29      -0.69     180.0     MWACS      
42.26     -19.48    3.32      3.29      -0.67     180.0     MWACS      
279.25    -66.82    3.32      4.28      -0.31     408.0     MRC        
319.76    -24.87    3.32      3.27      -1.04     180.0     MWACS      
240.11    8.61      3.32      2.7       -1.57     160.0     Culgoora   
177.68    -0.4      3.31      3.0       -0.74     160.0     Culgoora   
315.7     -39.35    3.3       3.28      -0.65     180.0     MWACS      
350.87    -30.97    3.3       3.3       -0.8      182.44    FHD        
74.38     -42.84    3.3       3.3       0.0       180.0     MWACS      
50.08     -17.05    3.29      3.28      -0.28     180.0     MWACS      
69.79     -24.37    3.29      3.24      -1.2      180.0     MWACS      
354.39    -37.48    3.29      3.29      -0.8      182.44    FHD        
104.55    -65.75    3.29      6.14      -0.78     408.0     MRC        
321.71    -35.12    3.28      3.24      -0.9      180.0     MWACS      
315.51    -39.56    3.28      3.23      -1.03     180.0     MWACS      
25.1      -17.49    3.28      3.24      -0.91     180.0     MWACS      
103.01    -23.78    3.27      3.22      -1.27     180.0     MWACS      
91.69     -16.99    3.26      3.23      -0.7      180.0     MWACS      
151.3     -21.87    3.25      3.1       -0.37     160.0     Culgoora   
50.81     12.06     3.25      2.4       -2.32     160.0     Culgoora   
86.08     -38.43    3.25      3.22      -0.75     180.0     MWACS      
344.84    -40.48    3.25      3.23      -0.46     180.0     MWACS      
25.31     -44.35    3.25      3.21      -1.05     180.0     MWACS      
63.79     -15.23    3.25      3.2       -1.17     180.0     MWACS      
18.17     17.85     3.25      2.5       -2.0      160.0     Culgoora   
327.19    -30.24    3.25      3.21      -0.88     180.0     MWACS      
357.78    -38.66    3.25      3.25      -0.8      182.44    FHD        
81.18     -56.98    3.24      3.22      -0.53     180.0     MWACS      
120.36    -48.56    3.24      3.21      -0.75     180.0     MWACS      
336.42    -14.35    3.24      3.21      -0.77     180.0     MWACS      
170.07    12.99     3.24      3.3       0.14      160.0     Culgoora   
94.62     -20.87    3.24      3.22      -0.55     180.0     MWACS      
18.93     -28.29    3.24      3.22      -0.45     180.0     MWACS      
78.47     1.94      3.23      2.8       -1.1      160.0     Culgoora   
138.09    8.18      3.23      2.8       -1.1      160.0     Culgoora   
134.38    -41.91    3.23      2.8       -1.1      160.0     Culgoora   
32.56     -3.74     3.23      2.8       -1.1      160.0     Culgoora   
52.43     -42.54    3.23      3.19      -0.94     180.0     MWACS      
99.74     -28.63    3.23      3.23      0.0       180.0     MWACS      
73.46     0.67      3.23      2.7       -1.37     160.0     Culgoora   
106.68    -20.55    3.22      3.19      -0.67     180.0     MWACS      
25.96     -43.7     3.22      3.19      -0.83     180.0     MWACS      
316.25    -48.81    3.22      3.19      -0.85     180.0     MWACS      
253.4     -42.52    3.22      2.9       -0.8      160.0     Culgoora   
357.87    -23.29    3.22      3.22      -0.8      182.44    FHD        
37.08     -17.21    3.22      3.18      -0.94     180.0     MWACS      
7.36      -11.2     3.22      3.22      -0.8      182.44    FHD        
10.21     -9.81     3.22      2.9       -0.79     160.0     Culgoora   
106.94    35.06     3.22      2.9       -0.79     160.0     Culgoora   
241.73    18.19     3.22      2.9       -0.79     160.0     Culgoora   
224.3     -3.67     3.22      2.6       -1.62     160.0     Culgoora   
15.78     -55.43    3.21      3.18      -0.76     180.0     MWACS      
61.4      -56.72    3.21      3.17      -1.03     180.0     MWACS      
136.72    -68.49    3.21      6.11      -0.8      408.0     MRC        
199.63    -46.35    3.21      6.24      -0.83     408.0     MRC        
0.43      -30.96    3.21      3.21      -0.8      182.44    FHD        
76.86     -50.22    3.2       3.18      -0.69     180.0     MWACS      
17.93     -69.0     3.2       6.1       -0.8      408.0     MRC        
