# RA        Dec       Flux_182  Flux_cat  Alpha     Freq      Catalog    
215.76    19.59     24.47     21.8      -0.88     160.0     Culgoora   
175.86    22.11     24.41     22.3      -0.69     160.0     Culgoora   
13.96     26.41     24.3      21.4      -0.97     160.0     Culgoora   
80.0      -45.79    24.29     46.25     -0.8      408.0     MRC        
61.83     3.68      24.28     23.5      -0.25     160.0     Culgoora   
269.67    -16.28    24.09     23.9      -0.06     160.0     Culgoora   
39.44     -19.55    23.98     23.75     -0.72     180.0     MWACS      
223.62    -36.67    23.88     21.7      -0.73     160.0     Culgoora   
284.85    12.97     23.79     21.2      -0.88     160.0     Culgoora   
215.7     -27.46    23.77     20.6      -1.09     160.0     Culgoora   
324.43    -14.55    23.67     21.2      -0.84     160.0     Culgoora   
33.9      -12.99    23.67     21.2      -0.84     160.0     Culgoora   
17.09     -16.07    23.49     23.24     -0.8      180.0     MWACS      
147.54    14.32     23.41     21.3      -0.72     160.0     Culgoora   
133.28    13.88     23.33     20.7      -0.91     160.0     Culgoora   
58.13     -7.18     23.26     21.3      -0.67     160.0     Culgoora   
101.35    21.36     23.25     20.5      -0.96     160.0     Culgoora   
174.8     -13.84    23.14     21.0      -0.74     160.0     Culgoora   
326.04    28.18     23.06     21.2      -0.64     160.0     Culgoora   
243.92    -60.91    22.72     43.26     -0.8      408.0     MRC        
194.05    -5.79     22.71     20.8      -0.67     160.0     Culgoora   
5.11      15.66     22.64     20.3      -0.83     160.0     Culgoora   
359.26    -34.76    22.5      22.5      -0.8      182.44    FHD        
151.3     -21.73    22.44     19.6      -1.03     160.0     Culgoora   
280.33    -4.94     22.41     22.5      0.03      160.0     Culgoora   
223.98    -11.15    22.34     20.7      -0.58     160.0     Culgoora   
80.29     16.64     22.17     23.0      0.28      160.0     Culgoora   
165.52    -1.27     22.11     20.6      -0.54     160.0     Culgoora   
6.46      -26.04    21.95     21.95     -0.8      182.44    FHD        
280.98    -3.85     21.82     20.6      -0.44     160.0     Culgoora   
305.54    10.02     21.71     19.7      -0.74     160.0     Culgoora   
126.83    -20.45    21.64     19.9      -0.64     160.0     Culgoora   
16.87     32.41     21.63     20.2      -0.52     160.0     Culgoora   
20.12     -15.34    21.6      21.43     -0.6      180.0     MWACS      
51.98     2.56      21.5      19.9      -0.59     160.0     Culgoora   
202.66    25.16     21.34     21.2      -0.05     160.0     Culgoora   
299.31    -42.37    21.28     19.8      -0.55     160.0     Culgoora   
83.82     -5.39     21.17     40.3      -0.8      408.0     MRC        
333.69    13.85     21.13     18.9      -0.85     160.0     Culgoora   
40.67     0.01      21.13     20.5      -0.23     160.0     Culgoora   
134.54    27.83     21.12     20.3      -0.3      160.0     Culgoora   
204.53    -6.45     20.91     18.8      -0.81     160.0     Culgoora   
146.06    9.76      20.76     18.5      -0.88     160.0     Culgoora   
57.87     -14.49    20.76     20.43     -1.21     180.0     MWACS      
120.39    14.24     20.74     18.6      -0.83     160.0     Culgoora   
190.99    16.35     20.6      19.5      -0.42     160.0     Culgoora   
241.31    -28.98    20.57     18.3      -0.89     160.0     Culgoora   
116.88    -19.3     20.32     20.04     -1.03     180.0     MWACS      
30.06     -30.89    20.16     19.98     -0.67     180.0     MWACS      
216.37    -30.01    20.15     18.5      -0.65     160.0     Culgoora   
109.33    -25.08    20.13     19.98     -0.56     180.0     MWACS      
14.39     -1.39     20.08     17.4      -1.09     160.0     Culgoora   
275.15    -39.15    20.07     18.0      -0.83     160.0     Culgoora   
207.46    -39.38    20.07     18.0      -0.83     160.0     Culgoora   
95.42     14.54     20.05     18.1      -0.78     160.0     Culgoora   
62.2      -75.12    19.92     35.97     -0.73     408.0     MRC        
208.08    31.44     19.88     18.5      -0.55     160.0     Culgoora   
185.15    33.75     19.65     17.3      -0.97     160.0     Culgoora   
281.12    -40.36    19.64     17.8      -0.75     160.0     Culgoora   
336.45    -4.97     19.58     18.0      -0.64     160.0     Culgoora   
274.9     -63.76    19.43     37.0      -0.8      408.0     MRC        
38.13     34.4      19.38     18.1      -0.52     160.0     Culgoora   
17.56     31.77     19.23     17.2      -0.85     160.0     Culgoora   
216.07    -38.45    19.22     16.7      -1.07     160.0     Culgoora   
121.2     10.25     19.14     17.1      -0.86     160.0     Culgoora   
105.53    25.23     19.14     16.5      -1.13     160.0     Culgoora   
134.67    14.16     19.1      17.2      -0.8      160.0     Culgoora   
160.69    12.04     19.09     17.3      -0.75     160.0     Culgoora   
91.12     20.34     19.03     16.3      -1.18     160.0     Culgoora   
230.02    20.27     18.86     18.4      -0.19     160.0     Culgoora   
22.13     29.05     18.68     16.6      -0.9      160.0     Culgoora   
10.54     -44.23    18.65     18.51     -0.58     180.0     MWACS      
100.78    23.33     18.6      16.9      -0.73     160.0     Culgoora   
67.42     -36.52    18.48     18.27     -0.85     180.0     MWACS      
271.28    11.03     18.46     16.0      -1.09     160.0     Culgoora   
1.6       -0.07     18.37     16.8      -0.68     160.0     Culgoora   
73.81     -30.12    18.37     18.16     -0.84     180.0     MWACS      
245.09    17.6      18.35     16.5      -0.81     160.0     Culgoora   
190.59    -4.77     18.25     16.8      -0.63     160.0     Culgoora   
348.21    5.28      18.24     16.1      -0.95     160.0     Culgoora   
197.77    27.46     18.2      16.6      -0.7      160.0     Culgoora   
350.26    -16.39    18.18     18.18     -0.8      182.44    FHD        
237.45    21.43     18.11     16.5      -0.71     160.0     Culgoora   
312.05    7.02      17.91     16.0      -0.86     160.0     Culgoora   
